transcription	normalisation	flag
ཁོལུད	ཁོལ་ལུད	1
ཁོགསུརྣོདེ	ཁོར་གསུར་སྣོད་དེ	1
ཁོརྻུག	ཁོར་ཡུག	1
ཁྱདརཾང་	ཁྱད་པར་མང་	1
ཁྱདར	ཁྱད་པར	1
ཁྱབདལ	ཁྱབ་གདལ	1
ཁྱབར	ཁྱབ་པར	1
ཁྱབདག	ཁྱབ་བདག	1
ཁྱབདགིསུང་	ཁྱབ་བདག་གིས་གསུང་	1
ཁྱབདགིསུངསོ	ཁྱབ་བདག་གིས་གསུངས་སོ	1
ཁྱབརྡལ	ཁྱབ་བརྡལ	1
ཁྱབྱེད	ཁྱབ་བྱེད	1
ཁྱིཾ་བདགིས	ཁྱིམ་བདག་གིས	1
ཁྱིམཚེས	ཁྱིམ་མཚེས	1
ཁྱིཾ	ཁྱིམ	1
ཁྱིལི	ཁྱིལ་ཁྱིལ	1
ཁྱོུག	ཁྱུ་མཆོག	1
ཁྱུགོན	ཁྱུ་མཆོག་ཅན	1
ཁྱུགོ༹ན	ཁྱུ་མཆོག་མཚན	1
ཁྱེུངན	ཁྱུང་ཆེན	1
ཁྱེུངན	ཁྱུང་ཆེན	1
ཁྱེདག	ཁྱེད་ཅག	1
ཁྱེདང་	ཁྱེད་རང་	1
ཁྱོ་ཤུག	ཁྱོ་དང་ཆུང་མ	0
ཁྱུགོ	ཁྱོ་ཤུག	1
ཁྱོདང་	ཁྱོད་རང་	1
ཁྱོནུངསོྃ	ཁྱོན་མཚུགས་པཱི	1
ཁྲོ	ཁྲ་བོ	1
ཁྲོགྱྃརྩེའང་	ཁྲ་བོ་གྲུམ་རྩེའང་	1
ཁྲགོ	ཁྲག་ཁྲོག	1
ཁྲགིས	ཁྲག་གིས	1
ཁྲགུང་	ཁྲག་འཐུང་	1
ཁྲུཾག	ཁྲག་འཐུང་	1
ཁྲུགང་	ཁྲག་འཐུང་	1
ཁྲབྕན	ཁྲབ་ཅན	1
ཁྲྃ	ཁྲམ	1
ཁྲོཾག	ཁྲམ་ཐོག	1
ཁྲོམག	ཁྲམ་ཐོག	1
ཁྲི༢	ཁྲི་གཉིས	1
ཁྲིནེ	ཁྲི་ཆེན	1
ཁྲིཙན	ཁྲི་བཙན	1
ཁྲིཞེར	ཁྲི་བཞེར	1
ཁྲིཟང་	ཁྲི་བཟང་	1
ཁྲིངོ་	ཁྲི་སྲོང་	1
ཁྲྲིག	ཁྲིག་ཁྲིག	1
ཁྲིདང་	ཁྲིད་དང་	1
ཁྲོིམད	ཁྲིམ་སྡོད	1
ཁྲིཾསྴིིང་	ཁྲིམས་ཤིང་	1
ཁྲིཾསྲོལྔ	ཁྲིམས་སྲོལ་སྔ	1
ཁྲིཾས	ཁྲིམས	1
འཁྲོུད	ཁྲུག་ཅོད	1
ཁྲྲུང་	ཁྲུང་ཁྲུང་	1
ཁྲེུད	ཁྲུན་མེད	1
ཁྲིུང་	ཁྲུན་རིང་	1
ཁྲུདོ	ཁྲུན་སྟོད	1
ཁྲུམདོ	ཁྲུམ་སྟོད	1
ཁྲོུད	ཁྲུམ་སྟོད	1
ཁྲུམད	ཁྲུམ་སྨད	1
ཁྲུཾད	ཁྲུམ་སྨད	1
ཁྲུཾདོ	ཁྲུམས་སྟོད	1
ཁྲུམསྟོད	ཁྲུམས་སྟོད	1
ཁྲུམསྨད	ཁྲུམས་སྨད	1
ཁྲུཾན	ཁྲུས་མཁན	1
ཁྲེལེད	ཁྲེལ་མེད	1
ཁྲེལེདཾ	ཁྲེལ་མེད	1
ཁྲེལོད	ཁྲེལ་ཡོད	1
ཁྲོརེ	ཁྲོ་གཉེར	1
ཁྲོནེ	ཁྲོ་ཆེན	1
ཁྲོེན	ཁྲོ་ཆེན	1
ཁྲོེར	ཁྲོ་ཉེར	1
ཁྲཽ་ཁྲཽ	ཁྲོ་བོ་ཁྲོ་མོ	1
ཁྲཽ་ཆེནོ	ཁྲོ་བོ་ཆེན་པོ	1
ཁྲཽ	ཁྲོ་བོ	1
ཁྲོའོཨི	ཁྲོ་བོའི	1
མྲཽ	ཁྲོ་མོ	1
ཁྲོལ	ཁྲོ་རྒྱལ	0
ཁྲོཾནེ	ཁྲོམ་ཆེན	1
ཁྲོཾ	ཁྲོམ	1
ཁྲོལེ	ཁྲོལ་ལེ	1
གླ	ག་ཟླ	0
གྱུ	ག་རྒྱུ	0
གངུ་	གང་བུ	1
གང༹ག	གང་ཟག	1
གངག	གང་ཟག	1
གངཟག	གང་ཟག	1
གངཁྱོལ	གང་འཁྱོལ	1
གངྱངྲུང་	གང་ཡང་རུང་	1
གངླདྕེ	གང་སླད་ཅེ	1
གཾ	གང་	1
ཅྱག	གཅག	1
ཅྱཌ	གཅགས	1
ཅྱེང་	གཅང་ངེ་	1
ཅྱོང་	གཅང་བོ	1
ཅྱང་	གཅང་	1
གངསྦལ	གངས་སྦལ	1
གཅནྯ	གཅན་གཟན	1
གཅྯན	གཅན་གཟན	1
གཅྯན	གཅན་གཟན	1
ཅྱནཚ	གཅན་ཚ	1
ཅྱནཕྲང་	གཅན་འཕྲང་	1
གཅནྱ྄ང་	གཅན་སྤྱང་	1
ཅྱྃསྱག	གཅམ་གསག	1
ཅྱལུ	གཅམ་དུ	1
ཅྱྃ	གཅམ	1
ཅྱར	གཅར	1
གཅིགཉིསུྃ	གཅིག་གཉིས་གསུམ	1
གཅིགནས	གཅིག་གནས	1
གཅིགི	གཅིག་གི	1
󲀇	གཅིག་གི	1
གཅིགིས	གཅིག་གིས	1
󲀇ས	གཅིག་གིས	1
གཅིགསོ	གཅིག་གསོ	1
གཅིགསོད	གཅིག་གསོད	1
གཅིགིས	གཅིག་གིས	1
གཅིགོཉིསྖོད	གཅིག་གོ་གཉིས་ཆོད	1
གཅིགྱུར	གཅིག་གྱུར	1
གཅིགྲོཌ	གཅིག་གྲོགས	1
གཅྖོིོགོ	གཅིག་ཆོག་གོ	1
གཅིགིད	གཅིག་ཉིད	1
༡ཏུ	གཅིག་ཏུ	1
གཅིགུ	གཅིག་ཏུ	1
གཅིགྟུ	གཅིག་ཏུ	1
༡ན་རེ	གཅིག་ན་རེ	1
གཅིགས་ཅུཾར	གཅིག་ནས་བཅུ་གསུམ་བར	1
གཅིགུྃཚུངསཞིན	གཅིག་མཚུངས་བཞིན	1
གཅིགྃནི	གཅིག་མིན	1
གཅིཚིག	གཅིག་ཚིག	1
གཅིགཇཌ	གཅིག་འཇགས	1
གཅིགྴེས	གཅིག་ཤེས	1
གཅིགྡུད	གཅིག་སྡུད	1
གཅིགྡོྃ	གཅིག་སྡོམ	1
ཅྱིནགཌ	གཅིན་འགགས	1
ཅྱིན	གཅིན་ལམ	1
ཅྱིནྶྙི	གཅིན་སྙི	1
ཅྱིནྟུག	གཅིན་སྟུག	1
ཅྱིནྶྲི	གཅིན་སྲི	1
གཅུལ	གཅུ་གལ	1
གཅོུ	གཅུ་བོ	1
གཅུཚེྃ	གཅུ་ཚེམ	1
གཅུཌ	གཅུགས	1
གཅུཌྃཁན	གཅུགས་མཁན	1
གཅུཾདནྻོདོ	གཅུང་དོན་ཡོད	1
གཅོུང་	གཅུང་བོ	1
གཅོུྃང་	གཅུང་མོ	1
གཅེུང་	གཅེན་གཅུང་	1
གཅྱེྃ་པོ	གཅེན་པོ	1
ཅྱེནོ	གཅེན་པོ	1
ཅྱེནོྃ	གཅེན་མོ	1
ཅེརུྃ	གཅེར་བུ་མ	1
ཅྱེརུའི	གཅེར་བུའི	1
ཅྱེརོྃ	གཅེར་མོ	1
ཅྱེར་འཛིན	གཅེར་འཛིན	1
ཅྱེར	གཅེར	1
ཅྱེསོ	གཅེས་པོ	1
ཅྱེསྲུགྃ	གཅེས་ཕྲུག་མ	1
ཅྱེསྡུས	གཅེས་བསྡུས	1
གཅེསྡུས	གཅེས་བསྡུས	1
ཅྱེསིངྃ	གཅེས་མིང་	1
ཅྱེསཛིན	གཅེས་འཛིན	1
ཅྱེསྐྱོང་	གཅེས་སྐྱོང་	1
ཅྱེསྲ྄ས	གཅེས་སྤྲས	1
གཅེསྤྲས	གཅེས་སྤྲས	1
ཅྱེསྲུང་	གཅེས་སྲུང་	1
གཅེསྲུང་	གཅེས་སྲུང་	1
ཅྱོགོས	གཅོག་དགོས	1
ཅྱོགཁན	གཅོག་མཁན	1
ཅྱོགརྩིས	གཅོག་རྩིས	1
ཅྱོང་	གཅོང་	1
ཅྱོངེ་	གཅོང་ངེ་	1
ཅྱེངྖེན	གཅོང་ཆེན	1
ཅྱོངྼོང་	གཅོང་རོང་	1
ཅྱོང་	གཅོང་	1
ཅྱོདྱི	གཅོད་ཀྱི	1
ཅྱེདརེད	གཅོད་པར་བྱེད	1
ཅྱོེདེ	གཅོད་བྱེད་དེ	1
ཅྱོདྃཚསྃ	གཅོད་མཚམས	1
ཅྱོད	གཅོད	1
ཅྱོྃ	གཅོམ	1
ཅྱོརྕིག	གཅོར་ཅིག	1
ཉྱཌ	གཉགས	1
ཉྱནསྱོད	གཉན་གསོད	1
ཉྱྖེན	གཉན་ཆེན	1
ཉྱནྠུབ	གཉན་ཐུབ	1
ཉྱནདཁྱོྃ	གཉན་ནད་འཁྱམ་པོ	1
ཉྱནའིནྱེད	གཉན་པའི་གཉད་དེ	1
ཉྱོན	གཉན་པོ	1
ཉྱནོའི	གཉན་པོའི	1
ཉྱནོར	གཉན་པོར	1
ཉྱནྲན	གཉན་ཕྲན	1
ཉྱནྦུ	གཉན་བུ	1
གཉནཚད	གཉན་ཚད	1
ཉྱནྦུར	གཉན་འབུར	1
གཉནབྲསོ	གཉན་འབྲས་སོ	1
ཉྱནྲིན	གཉན་སྲིན	1
ཉྱན	གཉན,	1
ཉྱན	གཉན	1
གཉཾ	གཉམ	1
ཉྱའནྱོན	གཉའ་གནོན	1
ཉྱའྕག	གཉའ་བཅག	1
ཉྱའརཏེཌ	གཉའ་བར་བཏེགས	1
ཉྱའྱེད	གཉའ་བྱེད	1
ཉྱའིཚིཌ	གཉའ་ཚིགས	1
ཉྱའྕིབས	གཉའ་ལྕིབས	1
ཉྱའྟག	གཉའ་ལྟག	1
ཉྱའ	གཉའ	1
ཉྱིདགཉིདྖེ	གཉིད་ཆག་གཉིད	1
ཉྱིདཀྲོགིནདུ	གཉིད་དཀྲོག་གིན་འདུག	1
ཉྱིདང་	གཉིད་དང་	1
ཉྱིདུསྱི	གཉིད་དུས་ཀྱི	1
ཉྱིདཐིབ	གཉིད་འཐིབ	1
ཉྱིདློགཉིད	གཉིད་ལོག་གཉིད	1
གཉིདྶངས	གཉིད་སངས	1
ཉྱིད	གཉིད	1
ཉྱིལ	གཉིལ	1
༢+ཨིས	གཉིས་ཀྱི	1
༢ཀྱི	གཉིས་ཀྱི	1
གཉིཀྱི	གཉིས་ཀྱི	1
ཉིསྱི	གཉིས་ཀྱི	1
ཉྱིསྱིསྡོག	གཉིས་ཀྱིས་ལྡོག	1
གཉཱིསྤྱོད	གཉིས་གཉིས་སྤྱོད	1
གཉིསུཾ	གཉིས་གསུམ	1
གཉིསྟེ	གཉིས་ཏེ	1
གཉིེསད	གཉིས་ཏེ	1
ཉིཏེ	གཉིས་ཏེ	1
གཉིསའི	གཉིས་པའི	1
ཉྱིསཉྃ	གཉིས་མཉམ	1
གཉིསྃནི	གཉིས་མིན	1
༢ད	གཉིས་མེད	1
༢ེད	གཉིས་མེད	1
གཉིདེ	གཉིས་མེད	1
གཉིེསད	གཉིས་མེད	1
གཉིསྃདེསུང་	གཉིས་མེད་གསུང་	1
གཉི༹ནི	གཉིས་འཛིན	1
གཉིསི༹ན	གཉིས་འཛིན	1
གཉིསཛིནཁྲི	གཉིས་འཛིན་འཁྲི	1
གཉིསུྃདེར	གཉིས་སུ་མེད་པར	1
ཉྱིསུྃདེ	གཉིས་སུ་མེད	1
གཉིསེུད	གཉིས་སུ་མེད	1
༢སུ	གཉིས་སུ	1
གཉིསུ	གཉིས་སུ	1
གཉིསོ	གཉིས་སོ	1
གཉིསྐྱེས	གཉིས་སྐྱེས	1
ཉྱིསྐྱེས	གཉིས་སྐྱེས	1
ཉྱིསྟོང་	གཉིས་སྟོང་	1
ཉྱིསྣང་	གཉིས་སྣང་	1
གཉུགྃའི	གཉུག་མའི	1
གཉུགྃར	གཉུག་མར	1
གཉུལྟེརྩ	གཉུལ་ཏེ་རྩྭ	1
ཉྱེ	གཉེ	1
ཉྱེནཤྱིན	གཉེན་གཤིན	1
གཉཻན	གཉེན་ཆེན	1
གཉེནོ	གཉེན་པོ	1
ཉྱེནོ	གཉེན་པོ	1
ཉྱེནོའི	གཉེན་པོའི	1
ཉྱེནྲེལ	གཉེན་འབྲེལ	1
ཉྱེན	གཉེན	1
ཉྱེརྐ	གཉེར་ཀ	1
ཉྱེརྑ	གཉེར་ཁ	1
ཉྱེརདྃས	གཉེར་གདམས	1
ཉེརུ	གཉེར་དུ	1
ཉྱེརྃའི	གཉེར་མའི	1
ཉྱེརཚང་	གཉེར་ཚང་	1
ཉྱེརཛིན	གཉེར་འཛིན	1
ཉྱེར	གཉེར	1
ཉྱེལ	གཉེལ	1
ཉྱོགྃ	གཉོག་གམ	1
ཉྱོཌིག	གཉོགས་ཤིག	1
ཉྱོངྖུ	གཉོང་ཆུང་	1
ཉྱེདྐ	གཉོད་ཀ	1
ཉྱེདྑ	གཉོད་ཁ	1
ནྱོད	གཉོད	1
ཉྱོྃངྖུ	གཉོམ་ཆུང་	1
ཉྱོས	གཉོས	1
ཏྱདར	གཏད་པར	1
གཏདོ	གཏད་སོ	1
ཏྱད	གཏད	1
ཏྱནྱི	གཏན་གྱི	1
ཏྱན	གཏན	1
ཏྱཾཔེར	གཏམ་དཔེར	1
ཏྱམོ	གཏམ་མོ	1
ཏྱནཚིཌ	གཏམ་ཚོགས	1
ཏྱྃ	གཏམ	1
གཏཾ	གཏམ	1
གཏའཾ	གཏའ་མ	1
གཏིུག	གཏི་མུག	1
གཏིུཾག	གཏི་མུག	1
གཏིུ༹ཊ	གཏིང་ཚུགས	1
ཏྱིང་	གཏིང་	1
གཏིབསའི	གཏིབས་པའི	1
གཏུནུ	གཏུན་བུ	1
གཏིུང་	གཏུན་ཤིང་	1
གཏུནིང་	གཏུན་ཤིང་	1
གཏུམོ	གཏུམ་པོ	1
གཏོུཾ	གཏུམ་པོ	1
གཏུམོ	གཏུམ་མོ	1
གཏིུ༹ཾག	གཏུམ་ཚིག	1
གཏོ༹ད	གཏེར་མཛོད	1
ཏྱེར	གཏེར	1
ཏྱོང་	གཏོང་	1
ཏྱོདཛོདང་	གཏོད་མཛོད་དང་	1
གཏོརཾ	གཏོར་མ	1
ཏྱོཾར	གཏོར་མ	1
ཏྱོར་མ	གཏོར་མ	1
གཏོརོ	གཏོར་རོ	1
ཏྱོར	གཏོར	1
ཏྱོལྃདེ	གཏོལ་མེད	1
གདའི	གད་པའི	1
གདཌསྲིབ	གདགས་སྲིབ	1
གདབུ	གདབ་བུ	1
གདབྱ	གདབ་བྱ	1
གདཾག	གདམ་ངག	1
གདམག	གདམ་ངག	1
གདཾག	གདམས་ངག	1
གདྃསཔ	གདམས་པ	1
གདཾས	གདམས	1
གདུ༹བ	གདུག་རྩུབ	1
གདུཊར	གདུགས་དཀར	1
གདོུ༹བ	གདུང་འཚོབ	1
གདིུ༹ན	གདུང་འཛིན	1
གདིུན	གདུང་འཛིན	1
གདུང་ངྱུད	གདུང་རྒྱུད	1
གདེུན	གདུང་རྟེན	1
གདུབུ	གདུབ་བུ	1
གདུལྱ	གདུལ་བྱ	1
གདུལྱ	གདུལ་བྱ	1
གདོངན	གདོང་ངན	1
གདོངུ་	གདོང་དུ	1
གདྲོུག	གདོང་དྲུག	1
གནྡྷོ་ལ	གན་དྷོ་ལ	1
གནོ༹༹ད	གན་མཛོད	1
གནྱ	གན་རྒྱ	1
གནདོན	གནད་དོན	1
ནྱད	གནད	1
གནམཚོ	གནམ་མཚོ	1
གནཾཅཊ	གནམ་ལྕགས	1
གནྕཾགས	གནམ་ལྕགས	1
གནྱོཾར	གནམ་སྦྱོར	1
གནཾ	གནམ	1
སྣཾ	གནམ	1
གནསྱི	གནས་ཀྱིས	1
གནྱིས	གནས་ཀྱིས	1
ནསྱི	གནས་ཀྱིས	1
ནྱསྱི	གནས་ཀྱིས	1
གནསན	གནས་ཅན	1
གནསེན	གནས་ཆེན	1
ནྱསྟེ	གནས་ཏེ	1
ནྱསྲིསུཾ	གནས་རིས་གསུམ	1
ནྱསརིས	གནས་རིས	1
གནསེན	གནས་རྟེན	1
གནསླུཊ	གནས་ལུགས	1
གནླུགས	གནས་ལུགས	1
གནླུཊ	གནས་ལུགས	1
གནསུ	གནས་སུ	1
ནྱསུ	གནས་སུ	1
ནྱསུྃ	གནས་སུམ	1
ནྱསོརྖུད	གནས་སོར་ཆུད	1
གནསྐབས	གནས་སྐབས	1
གནསྲུངོ་	གནས་སྲུང་པོ	1
ནས	གནས	0
ཉྱེནགྲིགཉེནྒྲིགཉ	གནེན་འགྲིག་གཉེན་སྒྲིག་གཉེན	1
གནྱོེད	གནོད་བྱེད	1
གནོདེ༹ས	གནོད་མཛེས	1
གནྱོེད	གནོད་མེད	1
གནྱོདིནགོ	གནོད་སྦྱིན་བདག་པོ	1
གནྱོིདནགོ	གནོད་སྦྱིན་བདག་པོ	1
གནོདྱིན	གནོད་སྦྱིན	1
གནོིདན	གནོད་སྦྱིན	1
གནྱོདིན	གནོད་སྦྱིན	1
གནྱོིདན	གནོད་སྦྱིན	1
གནྱོིན	གནོད་སྦྱིན	1
ནྱོདིན	གནོད་སྦྱིན	1
གབསུ	གབས་སུ	1
གཾ	གམ	1
གཙངོ་	གཙང་བོ	1
ཙྱང་	གཙང་	1
རྩང་	གཙང་	1
གཙིགསུ་འཛིན་པ	གཙིགས་སུ་འཛིན་པ	1
གཙུགི	གཙུག་གི	1
རྩུགི	གཙུག་གི	1
རྩུགོ	གཙུག་གོ	1
གཙུགོར	གཙུག་གཏོར	1
གཙོུརན	གཙུག་ཏོར་ཅན	1
གཙོུགར	གཙུག་ཏོར	1
གཙོུར	གཙུག་ཏོར	1
གཙུགད	གཙུག་པུད	1
ཙུགད	གཙུག་པུད	1
རྩུགད	གཙུག་པུད	1
གཙླུག	གཙུག་ལག	1
གཙླུགང་	གཙུག་ལག་ཁང་	1
གཙུག་ལགསུཾ	གཙུག་ལག་གསུམ	1
གཙུགག	གཙུག་ལག	1
གཙཽ	གཙོ་བོ	1
གཙཽར	གཙོ་བོར	1
གཙཽར	གཙོ་འཁོར	0
གཙོརོ	གཙོ་འཁོར	1
གཞགསོ	གཞགས་གཞོགས	1
གཞྲུཾ	གཞང་འབྲུམ	1
གཞནྱི	གཞན་གྱི	1
གཞནྱིསོས	གཞན་གྱིས་གསོས	1
གཞནྱིས	གཞན་གྱིས	1
ཞྱངང་	གཞང་དང་	1
གཞནུ	གཞན་དུ	1
གཞནང་	གཞན་ཡང་	1
ཞནང་	གཞན་ཡང་	1
གན	གཞན	0
གཞལེཾདང་	གཞལ་མེད་ཁང་	1
གཞལེཾདན	གཞལ་མེད་ཅན	1
གཞལེཾད	གཞལ་མེད	1
ཞལྃདྑེང་	གཞལ་མེད་ཁང་	1
གཞྱསང་	གཞལ་ཡས་ཁང་	1
ཞྱསང་	གཞལ་ཡས་ཁང་	1
གཞཾས	གཞལ་ཡས	1
གཞྱས	གཞལ་ཡས	1
ཞྱས	གཞལ་ཡས	1
ཞྱསཾ	གཞལ་ཡས	1
གཞལྒང་	གཞལ་སྒང་	1
གཞིསུཾ	གཞི་གསུམ	1
གཞྲིུབ	གཞི་གྲུབ	1
ཞྱི	གཞི	1
ཞྱིགལྖེན	གཞིག་གལ་ཆེན	1
ཞྱིཌ	གཞིགས	1
གཞོུག	གཞུ་ཐོག	1
གཞོུམ	གཞུ་འདོམ	1
གཞོུཾ	གཞུ་འདོམ	1
གཞོུམས	གཞུ་འདོམས	1
གཞིུ༹ན	གཞུ་འཛིན	1
གཞུ་ལསྐྱེས	གཞུ་ལས་སྐྱེས	1
གཞུགུ	གཞུག་གུ	1
ཞྱུང་	གཞུང་	1
གཞོགསུ	གཞོགས་སུ	1
གཞོཊུ	གཞོགས་སུ	1
གཞོགསློང་	གཞོགས་སློང་	1
གཞོངསྤྱོད	གཞོངས་སྤྱོད	1
ཞོནུསློབསིག	གཞོན་དུས་སློབས་ཤིག	1
གཞོནུཾ	གཞོན་ནུ་མ	1
གཞོནུ	གཞོན་ནུ	1
གཞྱོནུ	གཞོན་ནུ	1
ཞྱོནུ	གཞོན་ནུ	1
ཞྱོན	གཞོན	1
གཞོམེད	གཞོམ་མེད	1
གཞོལོ	གཞོལ་ལོ	1
གཟཱབ	གཟབ་གཟབ	1
གཟབྱ	གཟབ་བྱ	1
ཟྱའྡགི	གཟའ་དག་གི	1
ཟྱསྤེན	གཟའ་སྤེན	1
ཟྱ	གཟའ	1
ཟྱའ	གཟའ	1
གཟིན	གཟི་ཅན	0
གཟིདིང་ལྡནའི	གཟི་བརྗིད་དང་ལྡན་པའི	1
གཟིད	གཟི་བརྗིད	0
གཟྗིིད	གཟི་བརྗིད	1
