transcription	normalisation
ཀུནྱོད	ཀུན་སྤྱོད
ཀུནློགྱང	ཀུན་ལོག་ཀྱང
ཀུན་ཏུ	ཀུནུ
ཀུཾ་ཀུཾ	ཀུམ་ཀུམ
ཀཻམ	ཀེམ་ཀེམ
ཀེ༹ང	ཀེའུ་ཚང
ཀྷོཾ་	ཀོ་ལྷམ་
ཀཽང	ཀོང་ཀོང
ཀྱགོ	ཀྱག་ཀྱོག
ཀྱངང	ཀྱང་ཡང
ཀྱརོ	ཀྱར་ཀྱོར
ཀྱལོ	ཀྱལ་ཀྱོལ
ཀྱིཞི	ཀྱི་གཞི
ཀྱིལྟེ་	ཀྱི་ལྟེ་
ཀྱིསཟོསླག	ཀྱིས་བཟོས་སླག
ཀྱིནློདིགྯང	ཀྱིན་སློད་ཅིག་བཟང
ཀྱུྃ	ཀྱུ་མ
ཀྱཻ	ཀྱེ་ཀྱེ
ཀླཽ	ཀླ་ཀློ
ཀློ	ཀླ་ཀློ
ཀླེུན	ཀླུ་གཉེན
ཀླེུནད	ཀླུ་ཆེན་བརྒྱད
ཀླེུབས	ཀླུ་ཐེབས
ཀླུད	ཀླུ་བདུད
ཀློུག	ཀླུ་ཟློག
ཀློག	ཀླུ་ཟློག
ཀླུ་སྒྲུབྱི	ཀླུ་སྒྲུབ་ཀྱི
ཀླུ་སྒྲུབྱིས༹དའི	ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པའི
ཀླུ་སྒྲུབྱིས	ཀླུ་སྒྲུབ་ཀྱིས
ཀླུའིབོང	ཀླུའི་དབང་བོ
ཁྒངྃ་	ཁ་གང་མ་
ཁསྱབ	ཁ་གསབ
ཁོདག	ཁ་དོག
ཁྡོག	ཁ་དོག
ཁྡྲང	ཁ་དྲང
ཁྲངས	ཁ་དྲངས
ཁ་འཆཾ་གྲོིག	ཁ་འཆམ་གྲོས་འགྲིག
ཁྮེང	ཁ་ཞེང
ཁླགྲོང	ཁ་ལག་སྲོ་དང
ཁླགྲོསིག	ཁ་ལག་སྲོས་ཤིག
ཁྶོ	ཁ་སོ
ཁྶོས	ཁ་སོས
ཁགི	ཁག་གི
ཁཾཉྱེར	ཁང་གཉེར
ཁངའི་	ཁང་བའི་
ཁམུ	ཁམ་ཁུམ
ཁཾ	ཁམ
ཁཾསི	ཁམས་ཀྱི
ཁཾསུཾ་སེཾན	ཁམས་གསུམ་སེམས་ཅན
ཁམསུཾ	ཁམས་གསུམ
ཁམསུམ	ཁམས་གསུམ་
ཁཾསུཾ	ཁམས་གསུམ
ཁམུཾ	ཁམས་གསུམ
ཁམསེང༌	ཁམས་གསེང༌
ཁམསྣ	ཁམས་ན
ཁཾ༹ན	ཁམས་ཚན
ཁཾསྱུངནྱསྯེར	ཁམས་འབྱུང་གནས་ཟེར
ཁམསུ	ཁམས་སུ
ཁཾསུ	ཁམས་སུ
ཁཾས	ཁམས
ཁརེ	ཁར་ཁེར
ཁསླེན	ཁས་ལེན
ཁེུ	ཁུ་ལེ
ཁུགཉིད	ཁུག་གཉིད
ཁུརརྱེད	ཁུར་བྱེད
ཁོུ༹ས	ཁུར་ཚོས
ཁོུས༹	ཁུར་ཚོས
ཁེུན	ཁུར་ལེན
ཁེོལ	ཁེ་ཁོལ
ཁྱེུངས	ཁེངས་བསྐྱུངས
ཁེབསྟེ	ཁེབས་ཏེ
ཁེརེ	ཁེར་རེ
ཁཽ	ཁོ་བོ
ཁྦོ་	ཁོ་བོ་
ཁོགྲྟེན	ཁོག་རྟེན
ཁོགྶྟོང	ཁོག་སྟོང
ཁོངོྃ	ཁོང་སེང་མ
ཁོ༹ནི	ཁོན་འཛིན
ཁོཾ	ཁོམ
ཁོརུག	ཁོར་ཡུག
ཁོལོ	ཁོལ་པོ
ཁོལུ	ཁོལ་བུ
ཁོལོཾ	ཁོལ་མོ
ཁོལུད	ཁོལ་ལུད
ཁོགསུརྣོདེ	ཁོར་གསུར་སྣོད་དེ
ཁོརྻུག	ཁོར་ཡུག
ཁྱདརཾང	ཁྱད་པར་མང
ཁྱདར	ཁྱད་པར
ཁྱབདལ	ཁྱབ་གདལ
ཁྱབར	ཁྱབ་པར
ཁྱབདག	ཁྱབ་བདག
ཁྱབདགིསུང༌	ཁྱབ་བདག་གིས་གསུང༌
ཁྱབདགིསུངསོ	ཁྱབ་བདག་གིས་གསུངས་སོ
ཁྱབརྡལ	ཁྱབ་བརྡལ
ཁྱབྱེད	ཁྱབ་བྱེད
ཁྱིཾ་བདགིས	ཁྱིམ་བདག་གིས
ཁྱིམཚེས	ཁྱིམ་མཚེས
ཁྱིཾ	ཁྱིམ
ཁྱིལི	ཁྱིལ་ཁྱིལ
ཁྱོུག	ཁྱུ་མཆོག
ཁྱུགོན	ཁྱུ་མཆོག་ཅན
ཁྱུགོ༹ན	ཁྱུ་མཆོག་མཚན
ཁྱེུངན	ཁྱུང་ཆེན
ཁྱེུངན	ཁྱུང་ཆེན
ཁྱེདག	ཁྱེད་ཅག
ཁྱེདང༌	ཁྱེད་རང༌
ཁྱོ་ཤུག	ཁྱོ་དང་ཆུང་མ
ཁྱུགོ	ཁྱོ་ཤུག
ཁྱོདང༌	ཁྱོད་རང༌
ཁྱོནུངསོྃ་	ཁྱོན་མཚུགས་པཱི་
ཁྲོ་	ཁྲ་བོ་
ཁྲོགྱྃརྩེའང	ཁྲ་བོ་གྲུམ་རྩེའང
ཁྲགོ	ཁྲག་ཁྲོག
ཁྲགིས	ཁྲག་གིས
ཁྲགུང༌	ཁྲག་འཐུང༌
ཁྲུཾག	ཁྲག་འཐུང༌
ཁྲུགང	ཁྲག་འཐུང
ཁྲབྕན	ཁྲབ་ཅན
ཁྲྃ	ཁྲམ
ཁྲོཾག	ཁྲམ་ཐོག
ཁྲོམག	ཁྲམ་ཐོག
ཁྲི༢	ཁྲི་གཉིས
ཁྲིནེ	ཁྲི་ཆེན
ཁྲིཙན	ཁྲི་བཙན
ཁྲིཞེར	ཁྲི་བཞེར
ཁྲིཟང	ཁྲི་བཟང
ཁྲིངོ༌	ཁྲི་སྲོང༌
ཁྲྲིག	ཁྲིག་ཁྲིག
ཁྲིདང	ཁྲིད་དང
ཁྲོིམད	ཁྲིམ་སྡོད
ཁྲིཾསྴིིང	ཁྲིམས་ཤིང
ཁྲིཾསྲོལྔ	ཁྲིམས་སྲོལ་སྔ
ཁྲིཾས	ཁྲིམས
འཁྲོུད	ཁྲུག་ཅོད
ཁྲྲུང	ཁྲུང་ཁྲུང
ཁྲེུད	ཁྲུན་མེད
ཁྲིུང༌	ཁྲུན་རིང༌
ཁྲུདོ	ཁྲུན་སྟོད
ཁྲུམདོ	ཁྲུམ་སྟོད
ཁྲོུད	ཁྲུམ་སྟོད
ཁྲུམད	ཁྲུམ་སྨད
ཁྲུཾད	ཁྲུམ་སྨད
ཁྲུཾདོ	ཁྲུམས་སྟོད
ཁྲུམསྟོད	ཁྲུམས་སྟོད
ཁྲུམསྨད	ཁྲུམས་སྨད
ཁྲུཾན	ཁྲུས་མཁན
ཁྲེལེད	ཁྲེལ་མེད
ཁྲེལེདཾ	ཁྲེལ་མེད
ཁྲེལོད	ཁྲེལ་ཡོད
ཁྲོརེ	ཁྲོ་གཉེར
ཁྲོནེ	ཁྲོ་ཆེན
ཁྲོེན	ཁྲོ་ཆེན
ཁྲོེར	ཁྲོ་ཉེར
ཁྲཽ་ཁྲཽ	ཁྲོ་བོ་ཁྲོ་མོ
ཁྲཽ་ཆེནོ	ཁྲོ་བོ་ཆེན་པོ
ཁྲཽ	ཁྲོ་བོ
ཁྲོའོཨི	ཁྲོ་བོའི
མྲཽ	ཁྲོ་མོ
ཁྲོལ	ཁྲོ་རྒྱལ
ཁྲོཾནེ	ཁྲོམ་ཆེན
ཁྲོཾ	ཁྲོམ
ཁྲོལེ	ཁྲོལ་ལེ
གླ་	ག་ཟླ
གྱུ	ག་རྒྱུ
གངུ	གང་བུ
གང༹ག	གང་ཟག
གངག	གང་ཟག
གངཟག	གང་ཟག
གངཁྱོལ	གང་འཁྱོལ
གངྱངྲུང	གང་ཡང་རུང
གངླདྕེ	གང་སླད་ཅེ
གཾ	གང
ཅྱག	གཅག
ཅྱཌ་	གཅགས་
ཅྱེང	གཅང་ངེ
ཅྱོང	གཅང་བོ
ཅྱང	གཅང
གངསྦལ	གངས་སྦལ
གཅནྯ	གཅན་གཟན
གཅྯན	གཅན་གཟན
གཅྯན	གཅན་གཟན
ཅྱནཚ	གཅན་ཚ
ཅྱནཕྲང	གཅན་འཕྲང
གཅནྱ྄ང་	གཅན་སྤྱང་
ཅྱྃསྱག	གཅམ་གསག
ཅྱལུ	གཅམ་དུ
ཅྱྃ	གཅམ
ཅྱར	གཅར
གཅིགཉིསུྃ	གཅིག་གཉིས་གསུམ
གཅིགནས	གཅིག་གནས
གཅིགི	གཅིག་གི
󲀇	གཅིག་གི
གཅིགིས	གཅིག་གིས
󲀇ས	གཅིག་གིས
གཅིགསོ	གཅིག་གསོ
གཅིགསོད	གཅིག་གསོད
གཅིགིས	གཅིག་གིས
གཅིགོཉིསྖོད	གཅིག་གོ་གཉིས་ཆོད
གཅིགྱུར	གཅིག་གྱུར
གཅིགྲོཌ་	གཅིག་གྲོགས
གཅྖོིོགོ་	གཅིག་ཆོག་གོ་
གཅིགིད	གཅིག་ཉིད
༡ཏུ	གཅིག་ཏུ
གཅིགུ	གཅིག་ཏུ
གཅིགྟུ	གཅིག་ཏུ
༡ན་རེ	གཅིག་ན་རེ
གཅིགས་ཅུཾར	གཅིག་ནས་བཅུ་གསུམ་བར
གཅིགུྃཚུངསཞིན	གཅིག་མཚུངས་བཞིན
གཅིགྃནི	གཅིག་མིན
གཅིཚིག	གཅིག་ཚིག
གཅིགཇཌ་	གཅིག་འཇགས་
གཅིགྴེས	གཅིག་ཤེས
གཅིགྡུད	གཅིག་སྡུད
གཅིགྡོྃ་	གཅིག་སྡོམ་
ཅྱིནགཌ་	གཅིན་འགགས་
ཅྱིན	གཅིན་ལམ
ཅྱིནྶྙི	གཅིན་སྙི
ཅྱིནྟུག	གཅིན་སྟུག
ཅྱིནྶྲི	གཅིན་སྲི
གཅུལ	གཅུ་གལ
གཅོུ་	གཅུ་བོ
གཅུཚེྃ་	གཅུ་ཚེམ་
གཅུཌ་	གཅུགས་
གཅུཌྃཁན	གཅུགས་མཁན
གཅུཾདནྻོདོ	གཅུང་དོན་ཡོད
གཅོུང་	གཅུང་བོ་
གཅོུྃང	གཅུང་མོ
གཅེུང	གཅེན་གཅུང
གཅྱེྃ་པོ	གཅེན་པོ
ཅྱེནོ	གཅེན་པོ
ཅྱེནོྃ	གཅེན་མོ
ཅེརུྃ་	གཅེར་བུ་མ་
ཅྱེརུའི	གཅེར་བུའི
ཅྱེརོྃ་	གཅེར་མོ་
ཅྱེར་འཛིན	གཅེར་འཛིན
ཅྱེར	གཅེར
ཅྱེསོ་	གཅེས་པོ་
ཅྱེསྲུགྃ་	གཅེས་ཕྲུག་མ་
ཅྱེསྡུས	གཅེས་བསྡུས
གཅེསྡུས	གཅེས་བསྡུས
ཅྱེསིངྃ་	གཅེས་མིང་
ཅྱེསཛིན	གཅེས་འཛིན
ཅྱེསྐྱོང	གཅེས་སྐྱོང
ཅྱེསྲ྄ས	གཅེས་སྤྲས
གཅེསྤྲས	གཅེས་སྤྲས
ཅྱེསྲུང	གཅེས་སྲུང
གཅེསྲུང༌	གཅེས་སྲུང༌
ཅྱོགོས	གཅོག་དགོས
ཅྱོགཁན	གཅོག་མཁན
ཅྱོགརྩིས	གཅོག་རྩིས
ཅྱོང་	གཅོང་
ཅྱོངེ་	གཅོང་ངེ་
ཅྱེངྖེན	གཅོང་ཆེན
ཅྱོངྼོང	གཅོང་རོང
ཅྱོང	གཅོང
ཅྱོདྱི་	གཅོད་ཀྱི་
ཅྱེདརེད	གཅོད་པར་བྱེད
ཅྱོེདེ་	གཅོད་བྱེད་དེ་
ཅྱོདྃཚསྃ	གཅོད་མཚམས
ཅྱོད	གཅོད
ཅྱོྃ	གཅོམ
ཅྱོརྕིག	གཅོར་ཅིག
ཉྱཌ་	གཉགས་
ཉྱནསྱོད	གཉན་གསོད
ཉྱྖེན	གཉན་ཆེན
ཉྱནྠུབ	གཉན་ཐུབ
ཉྱནདཁྱོྃ་	གཉན་ནད་འཁྱམ་པོ
ཉྱནའིནྱེད	གཉན་པའི་གཉད་དེ
ཉྱོན	གཉན་པོ
ཉྱནོའི	གཉན་པོའི
ཉྱནོར	གཉན་པོར
ཉྱནྲན	གཉན་ཕྲན
ཉྱནྦུ	གཉན་བུ
གཉནཚད	གཉན་ཚད
ཉྱནྦུར	གཉན་འབུར
གཉནབྲསོ	གཉན་འབྲས་སོ
ཉྱནྲིན	གཉན་སྲིན
ཉྱན	གཉན,
ཉྱན	གཉན
གཉཾ	གཉམ
ཉྱའནྱོན	གཉའ་གནོན
ཉྱའྕག	གཉའ་བཅག
ཉྱའརཏེཌ་	གཉའ་བར་བཏེགས་
ཉྱའྱེད	གཉའ་བྱེད
ཉྱའིཚིཌ་	གཉའ་ཚིགས་
ཉྱའྕིབས	གཉའ་ལྕིབས
ཉྱའྟག	གཉའ་ལྟག
ཉྱའ	གཉའ
ཉྱིདགཉིདྖེ	གཉིད་ཆག་གཉིད
ཉྱིདཀྲོགིནདུ	གཉིད་དཀྲོག་གིན་འདུག
ཉྱིདང་	གཉིད་དང་
ཉྱིདུསྱི	གཉིད་དུས་ཀྱི
ཉྱིདཐིབ	གཉིད་འཐིབ
ཉྱིདློགཉིད	གཉིད་ལོག་གཉིད
གཉིདྶངས	གཉིད་སངས
ཉྱིད	གཉིད
ཉྱིལ	གཉིལ
༢+ཨིས	གཉིས་ཀྱི
༢ཀྱི	གཉིས་ཀྱི
གཉིཀྱི	གཉིས་ཀྱི
ཉིསྱི	གཉིས་ཀྱི
ཉྱིསྱིསྡོག	གཉིས་ཀྱིས་ལྡོག
གཉཱིསྤྱོད	གཉིས་གཉིས་སྤྱོད
གཉིསུཾ	གཉིས་གསུམ
གཉིསྟེ	གཉིས་ཏེ
གཉིེསད	གཉིས་ཏེ
ཉིཏེ	གཉིས་ཏེ
གཉིསའི	གཉིས་པའི
ཉྱིསཉྃ	གཉིས་མཉམ
གཉིསྃནི	གཉིས་མིན
༢ད	གཉིས་མེད
༢ེད	གཉིས་མེད
གཉིདེ	གཉིས་མེད
གཉིེསད	གཉིས་མེད
གཉིསྃདེསུང་	གཉིས་མེད་གསུང་
གཉི༹ནི	གཉིས་འཛིན
གཉིསི༹ན	གཉིས་འཛིན
གཉིསཛིནཁྲི	གཉིས་འཛིན་འཁྲི
གཉིསུྃདེར	གཉིས་སུ་མེད་པར
ཉྱིསུྃདེ	གཉིས་སུ་མེད
གཉིསེུད	གཉིས་སུ་མེད
༢སུ	གཉིས་སུ
གཉིསུ	གཉིས་སུ
གཉིསོ	གཉིས་སོ
གཉིསྐྱེས	གཉིས་སྐྱེས
ཉྱིསྐྱེས	གཉིས་སྐྱེས
ཉྱིསྟོང་	གཉིས་སྟོང་
ཉྱིསྣང	གཉིས་སྣང
གཉུགྃའི	གཉུག་མའི
གཉུགྃར	གཉུག་མར
གཉུལྟེརྩ	གཉུལ་ཏེ་རྩྭ
ཉྱེ	གཉེ
ཉྱེནཤྱིན	གཉེན་གཤིན
གཉཻན	གཉེན་ཆེན
གཉེནོ	གཉེན་པོ
ཉྱེནོ	གཉེན་པོ
ཉྱེནོའི་	གཉེན་པོའི་
ཉྱེནྲེལ	གཉེན་འབྲེལ
ཉྱེན	གཉེན
ཉྱེརྐ་	གཉེར་ཀ
ཉྱེརྑ་	གཉེར་ཁ་
ཉྱེརདྃས	གཉེར་གདམས
ཉེརུ	གཉེར་དུ
ཉྱེརྃའི	གཉེར་མའི
ཉྱེརཚང་	གཉེར་ཚང་
ཉྱེརཛིན	གཉེར་འཛིན
ཉྱེར	གཉེར
ཉྱེལ	གཉེལ
ཉྱོགྃ	གཉོག་གམ
ཉྱོཌིག	གཉོགས་ཤིག
ཉྱོངྖུ་	གཉོང་ཆུང་
ཉྱེདྐ	གཉོད་ཀ
ཉྱེདྑ	གཉོད་ཁ
ནྱོད	གཉོད
ཉྱོྃངྖུ་	གཉོམ་ཆུང་
ཉྱོས	གཉོས
ཏྱདར	གཏད་པར
གཏདོ	གཏད་སོ
ཏྱད	གཏད
ཏྱནྱི་	གཏན་གྱི་
ཏྱན	གཏན
ཏྱཾཔེར	གཏམ་དཔེར
ཏྱམོ	གཏམ་མོ
ཏྱནཚིཌ་	གཏམ་ཚོགས་
ཏྱྃ	གཏམ
གཏཾ	གཏམ
གཏའཾ	གཏའ་མ
གཏིུག	གཏི་མུག
གཏིུཾག	གཏི་མུག
གཏིུ༹ཊ	གཏིང་ཚུགས
ཏྱིང	གཏིང
གཏིབསའི	གཏིབས་པའི
གཏུནུ	གཏུན་བུ
གཏིུང༌	གཏུན་ཤིང༌
་གཏུནིང	གཏུན་ཤིང
གཏུམོ	གཏུམ་པོ
གཏོུཾ	གཏུམ་པོ
གཏུམོ	གཏུམ་མོ
གཏིུ༹ཾག	གཏུམ་ཚིག
གཏོ༹ད	གཏེར་མཛོད
ཏྱེར	གཏེར
ཏྱོང	གཏོང
ཏྱོདཛོདང	གཏོད་མཛོད་དང
གཏོརཾ	གཏོར་མ
ཏྱོཾར	གཏོར་མ
ཏྱོར་མ	གཏོར་མ
གཏོརོ	གཏོར་རོ
ཏྱོར	གཏོར
ཏྱོལྃདེ་	གཏོལ་མེད་
གདའི	གད་པའི
གདཌསྲིབ	གདགས་སྲིབ
གདབུ	གདབ་བུ
གདབྱ	གདབ་བྱ
གདཾག	གདམ་ངག
གདམག	གདམ་ངག
གདཾག	གདམས་ངག
གདྃསཔ	གདམས་པ
གདཾས	གདམས
གདུ༹བ	གདུག་རྩུབ
གདུཊར	གདུགས་དཀར
གདོུ༹བ	གདུང་འཚོབ
གདིུ༹ན	གདུང་འཛིན
གདིུན	གདུང་འཛིན
གདུང་ངྱུད	གདུང་རྒྱུད
གདུང་ངྱུད	གདུང་རྒྱུད
གདེུན	གདུང་རྟེན
གདུབུ	གདུབ་བུ
གདུལྱ	གདུལ་བྱ
གདུལྱ་	གདུལ་བྱ་
གདོངན	གདོང་ངན
གདོངུ	གདོང་དུ
གདྲོུག	གདོང་དྲུག
གནྡྷོ་ལ	གན་དྷོ་ལ
གནོ༹༹ད	གན་མཛོད
གནྱ	གན་རྒྱ
གནདོན	གནད་དོན
ནྱད	གནད
གནམཚོ	གནམ་མཚོ
གནཾཅཊ	གནམ་ལྕགས
གནྕཾགས	གནམ་ལྕགས
གནྱོཾར	གནམ་སྦྱོར
གནཾ	གནམ
སྣཾ	གནམ
གནསྱི	གནས་ཀྱིས
གནྱིས	གནས་ཀྱིས
ནསྱི	གནས་ཀྱིས
ནྱསྱི	གནས་ཀྱིས
གནསན	གནས་ཅན
གནསེན	གནས་ཆེན
ནྱསྟེ	གནས་ཏེ
ནྱསྲིསུཾ	གནས་རིས་གསུམ
ནྱསརིས	གནས་རིས
གནསེན	གནས་རྟེན
གནསླུཊ	གནས་ལུགས
གནླུགས	གནས་ལུགས
གནླུཊ	གནས་ལུགས
གནསུ	གནས་སུ
ནྱསུ	གནས་སུ
ནྱསུྃ	གནས་སུམ
ནྱསོརྖུད	གནས་སོར་ཆུད
གནསྐབས	གནས་སྐབས
གནསྲུངོ༌	གནས་སྲུང་པོ
ནས	གནས
ཉྱེནགྲིགཉེནྒྲིགཉ	གནེན་འགྲིག་གཉེན་སྒྲིག་གཉེན
གནྱོེད	གནོད་བྱེད
གནོདེ༹ས	གནོད་མཛེས
གནྱོེད	གནོད་མེད
གནྱོདིནགོ	གནོད་སྦྱིན་བདག་པོ
གནྱོིདནགོ	གནོད་སྦྱིན་བདག་པོ
གནོདྱིན	གནོད་སྦྱིན
གནོིདན	གནོད་སྦྱིན
གནྱོདིན	གནོད་སྦྱིན
གནྱོིདན	གནོད་སྦྱིན
གནྱོིན	གནོད་སྦྱིན
ནྱོདིན	གནོད་སྦྱིན
གབསུ	གབས་སུ
གཾ	གམ
གཙངོ་	གཙང་བོ་
ཙྱང	གཙང
རྩང	གཙང
གཙིགསུ་འཛིན་པ	གཙིགས་སུ་འཛིན་པ
གཙུགི	གཙུག་གི
རྩུགི	གཙུག་གི
རྩུགོ	གཙུག་གོ
གཙུགོར	གཙུག་གཏོར
གཙོུརན	གཙུག་ཏོར་ཅན
གཙོུགར	གཙུག་ཏོར
གཙོུར	གཙུག་ཏོར
གཙུགད	གཙུག་པུད
ཙུགད	གཙུག་པུད
རྩུགད	གཙུག་པུད
གཙླུག	གཙུག་ལག
གཙླུགང༌	གཙུག་ལག་ཁང༌
གཙུག་ལགསུཾ	གཙུག་ལག་གསུམ
གཙུགག	གཙུག་ལག
གཙཽ	གཙོ་བོ
གཙཽར	གཙོ་བོར
གཙཽར	གཙོ་འཁོར
གཙོརོ	གཙོ་འཁོར
གཞགསོ	གཞགས་གཞོགས
གཞྲུཾ	གཞང་འབྲུམ
གཞནྱི	གཞན་གྱི
གཞནྱིསོས	གཞན་གྱིས་གསོས
གཞནྱིས	གཞན་གྱིས
ཞྱངང	གཞང་དང
གཞནུ	གཞན་དུ
གཞནང༌	གཞན་ཡང༌
ཞནང	གཞན་ཡང
གན	གཞན
གཞལེཾདང༌	གཞལ་མེད་ཁང༌
གཞལེཾདན	གཞལ་མེད་ཅན
གཞལེཾད	གཞལ་མེད
ཞལྃདྑེང་	གཞལ་མེད་ཁང་
གཞྱསང༌	གཞལ་ཡས་ཁང༌
ཞྱསང༌	གཞལ་ཡས་ཁང༌
གཞཾས	གཞལ་ཡས
གཞྱས	གཞལ་ཡས
ཞྱས	གཞལ་ཡས
ཞྱསཾ	གཞལ་ཡས
གཞལྒང	གཞལ་སྒང
གཞིསུཾ	གཞི་གསུམ
གཞྲིུབ	གཞི་གྲུབ
ཞྱི་	གཞི་
ཞྱིགལྖེན	གཞིག་གལ་ཆེན
ཞྱིཌ་	གཞིགས་
གཞོུག	གཞུ་ཐོག
གཞོུམ	གཞུ་འདོམ
གཞོུཾ	གཞུ་འདོམ
གཞོུམས	གཞུ་འདོམས
གཞིུ༹ན	གཞུ་འཛིན
གཞུ་ལསྐྱེས	གཞུ་ལས་སྐྱེས
གཞུགུ	གཞུག་གུ
ཞྱུང	གཞུང
གཞོགསུ	གཞོགས་སུ
གཞོཊུ	གཞོགས་སུ
གཞོགསློང	གཞོགས་སློང
གཞོངསྤྱོད	གཞོངས་སྤྱོད
ཞོནུསློབསིག	གཞོན་དུས་སློབས་ཤིག
གཞོནུཾ	གཞོན་ནུ་མ
གཞོནུ	གཞོན་ནུ
གཞྱོནུ	གཞོན་ནུ
ཞྱོནུ	གཞོན་ནུ
ཞྱོན	གཞོན
གཞོམེད	གཞོམ་མེད
གཞོལོ	གཞོལ་ལོ
གཟཱབ	གཟབ་གཟབ
གཟབྱ	གཟབ་བྱ
ཟྱའྡགི་	གཟའ་དག་གི་
ཟྱསྤེན	གཟའ་སྤེན
ཟྱ	གཟའ
ཟྱའ	གཟའ
གཟིན	གཟི་ཅན
གཟིདིང་ལྡནའི	གཟི་བརྗིད་དང་ལྡན་པའི
གཟིད	གཟི་བརྗིད
གཟྗིིད	གཟི་བརྗིད
གཟྲིད	གཟི་བརྗིད
ཟིྗདི	གཟི་བརྗིད
ཟྱིགཾངསཟྱིག	གཟིག་གམ་གངས་གཟིག
གཟིགིས	གཟིག་གིས
གཟིུཊ	གཟིགས་འདུག
གཟིཌ	གཟིགས
ཟྱིཌ	གཟིགས
གཟིམལ	གཟིམ་མལ
གཟོུ	གཟུ་བོ
གཟིུང༌	གཟུ་ཤིང༌
གཟེུར	གཟུག་གཟེར
གཟྯེུར	གཟུག་གཟེར
གཟུགིན་འདུག	གཟུག་གིན་འདུག
གཟུཾས	གཟུགས་ཁམས
གཟུཊན	གཟུགས་ཅན
གཟུན	གཟུགས་ཅན
གཟུཊཾ	གཟུགས་མ
གཟེུ༹ས	གཟུགས་མཛེས
གཟེུཾད་ཁཾས	གཟུགས་མེད་ཁམས
གཟུགེསཾད	གཟུགས་མེད
གཟེུད	གཟུགས་མེད
གཟེུདཾ	གཟུགས་མེད
གཟེུཾད	གཟུགས་མེད
གཟུཊི༹ན	གཟུགས་འཛིན
གཟུགསྐུ	གཟུགས་སྐུ
གཟུགསྐུ	གཟུགས་སྐུ
གཟུཊུ	གཟུགས་སྐུ
གཟུགསྡུག	གཟུགས་སྡུག
གཟུགུ	གཟུགས་སྡུག
གཟུཌ	གཟུགས
གཟུགསྡུག	གཟུགས་སྡུག
གཟུངིན	གཟུང་འཛིན
གཟིུང༹ན	གཟུང་འཛིན
གཟུངསྔཊ	གཟུངས་སྔགས
གཟེརཾ	གཟེར་མ
གཟེརོ	གཟེར་རོ
ཟྱེར	གཟེར
ཟྱེོང	གཟོང
ཟྱོད	གཟོད
གཡགིས	གཡག་གིས
ཡྱརྶ	གཡག་སར
ཡྱང	གཡང
གཡབོ	གཡབ་མོ
ཡྱར	གཡར
གཡྱོན	གཡས་གཡོན
གཡྱོགས	གཡས་ཕྱོགས
